Label	Color	X	Y	Z
Front	#0000ff	0.01260931930240707	-0.000448001634972141	0.022569460102970316
Middle	#ff0000	0.0029314509635117413	0.00047879391735370996	0.02492741839394807
Back	#008000	-0.009804634441246353	0.0026591240376146806	0.018583037579316113
Front_Left	#613583	0.007330852761355555	0.005827079082557833	0.02284324967101047
Front_Right	#dc8add	0.005678393924175336	-0.005025614973863168	0.023560372632335052
Back_Left	#a51d2d	-0.004446068134769394	0.007874410490580774	0.022893665444400135
Back_Right	#cdab8f	-0.0065095794805184026	-0.0035389085929257835	0.022795178648009957
Middle_Left	#f5c211	0.00295330082945576	0.006467638150730455	0.022870259748308832
Middle_Right	#ff7800	0.0008102461618113819	-0.005295307793914887	0.022070904535035747
centroid	#000000	0.0012836979873536328	0.000999912520351275	0.022568171861703856
